PLZ;Ort
89134;Blaustein
89134;Blaustein
87527;Sonthofen
88416;Ochsenhausen
88471;Baustetten
71116;Gärtringen
89155;Erbach
88471;Laupheim
89075;Ulm
88483;Burgrieden
73035;Göppingen
89143;Pappelau
70565;Stuttgart
70565;Stuttgart
72589;Westerheim
88416;Reinstetten
88416;Ochsenhausen
87740;Buxheim
88483;Burgrieden
88471;Laupheim 
72589;Westerheim 
88416;Ochsenhausen
71116;Gärtringen
88471;Laupheim
72539;Pfronstetten
72539;Pfronstetten
89134;Blaustein 
88471;Laupheim
88444;Ummendorf
72589;Westerheim
89073;Ulm
73033;Göppingen
73033;Göppingen
71088;Holzgerlingen 
88471;Baustetten 
88471;Laupheim
72589;Westerheim
88477;Schwendi 
88471;Laupheim
88471;Baustetten
88471;Laupheim
88471;Laupheim
89129;Langenau
89155;Erbach
88400;Biberach
88483;Burgrieden
88416;Reinstetten
95444;Bayreuth
89143;Blaubeuren
88471;Laupheim
88471;Laupheim
88471;Baustetten
88471;Baustetten
88471;Baustetten
88400;Biberach
89129;Langenau
88487;Baltringen
89150;Laichingen
88471;Laupheim
88471;Baustetten 
88416;Reinstetten
89134;Blaustein
73035;Göppingen
